task,model,r2_train,r2_test,rmse_test,accuracy,weighted_f1,macro_f1,tfidf_max_features,tfidf_ngram_range,tfidf_svd_n_components,imb_sampler,xgb_colsample_bytree,xgb_learning_rate,xgb_max_depth,xgb_n_estimators,xgb_subsample
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.8853330612182617,0.7048709392547607,0.8319607915282362,0.45477178423236514,0.4536811186443447,0.42920685023236443,20000,"(1, 1)",300,none,1.0,0.1,4,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9029420018196106,0.7039756774902344,0.8332216943029911,0.4553941908713693,0.4550134587926385,0.430803856211545,20000,"(1, 1)",300,none,1.0,0.1,4,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9293828010559082,0.7034540176391602,0.8339555721982147,0.4597510373443983,0.4595937205543395,0.4352394127340363,20000,"(1, 1)",300,none,1.0,0.1,4,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9837460517883301,0.7015696167945862,0.8366009940124851,0.45352697095435685,0.4540809138017738,0.42956182003633864,20000,"(1, 1)",300,none,1.0,0.1,6,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9899241328239441,0.7011481523513794,0.8371915590900527,0.44979253112033196,0.451242413860468,0.42658257610640116,20000,"(1, 1)",300,none,1.0,0.1,6,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9962137937545776,0.7009615898132324,0.8374527718621748,0.4520746887966805,0.4540052482882758,0.4293468354702249,20000,"(1, 1)",300,none,1.0,0.1,6,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9995637536048889,0.6954506635665894,0.8451342706824905,0.44813278008298757,0.446295708808682,0.42175678667312705,20000,"(1, 1)",300,none,1.0,0.1,8,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9998430609703064,0.6953427791595459,0.8452839153766336,0.44813278008298757,0.4462288724701352,0.4219318037375972,20000,"(1, 1)",300,none,1.0,0.1,8,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9999544620513916,0.6953451633453369,0.8452806011957468,0.44896265560165977,0.4473421002259301,0.4230201299170607,20000,"(1, 1)",300,none,1.0,0.1,8,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.923240065574646,0.6943186521530151,0.846703446526776,0.4562240663900415,0.4594510341809728,0.43450291193744117,20000,"(1, 1)",300,none,1.0,0.15,4,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9391880035400391,0.6917219161987305,0.8502922032691154,0.4562240663900415,0.4599482388325828,0.4350209636962056,20000,"(1, 1)",300,none,1.0,0.15,4,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9611234068870544,0.6894419193267822,0.8534307721381602,0.4562240663900415,0.4595846050875006,0.43445525123579537,20000,"(1, 1)",300,none,1.0,0.15,4,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9949524998664856,0.6894899606704712,0.8533647347114047,0.4483402489626556,0.4498610531988261,0.4238052989950408,20000,"(1, 1)",300,none,1.0,0.15,6,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9975084066390991,0.6893668174743652,0.8535338864675251,0.4495850622406639,0.45174156533246584,0.4256287641967802,20000,"(1, 1)",300,none,1.0,0.15,6,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.999387264251709,0.6892554759979248,0.8536868763790175,0.4464730290456432,0.44856183835179364,0.42245049835778736,20000,"(1, 1)",300,none,1.0,0.15,6,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9999444484710693,0.6880221366882324,0.8553793873555252,0.45311203319502075,0.45313953128641826,0.42736388837507855,20000,"(1, 1)",300,none,1.0,0.15,8,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9999625086784363,0.6880122423171997,0.8553928707384939,0.45311203319502075,0.45317684951612053,0.4272240416136676,20000,"(1, 1)",300,none,1.0,0.15,8,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9999666810035706,0.6880053281784058,0.8554023821443715,0.4524896265560166,0.4526409926005568,0.4268807154263502,20000,"(1, 1)",300,none,1.0,0.15,8,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.8681043386459351,0.69818115234375,0.8413371094018418,0.4280082987551867,0.42285970850635196,0.4116276915025677,20000,"(1, 2)",200,smote,1.0,0.1,4,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.886663019657135,0.698760449886322,0.8405292995390681,0.4315352697095436,0.4281760578168685,0.41613149905765734,20000,"(1, 2)",200,smote,1.0,0.1,4,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9144901037216187,0.6984120607376099,0.8410151983491246,0.43091286307053944,0.42930813150593944,0.41591968234244847,20000,"(1, 2)",200,smote,1.0,0.1,4,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9771464467048645,0.7010931968688965,0.8372685539647853,0.4358921161825726,0.4347765584253131,0.4205630471884114,20000,"(1, 2)",200,smote,1.0,0.1,6,500,1.0
